	Month	Weekday	Hour	Temp	Rain	zipcode	count
148	4	1	0	49.0	0.0	11435	5
149	4	1	0	49.0	0.0	11436	1
157	4	1	1	44.0	0.0	10001	200
158	4	1	1	44.0	0.0	10002	228
159	4	1	1	44.0	0.0	10003	338
160	4	1	1	44.0	0.0	10004	24
161	4	1	1	44.0	0.0	10005	25
162	4	1	1	44.0	0.0	10006	4
163	4	1	1	44.0	0.0	10007	44
164	4	1	1	44.0	0.0	10009	220
165	4	1	1	44.0	0.0	10010	130
166	4	1	1	44.0	0.0	10011	309
167	4	1	1	44.0	0.0	10012	215
168	4	1	1	44.0	0.0	10013	168
169	4	1	1	44.0	0.0	10014	203
170	4	1	1	44.0	0.0	10016	194
171	4	1	1	44.0	0.0	10017	146
172	4	1	1	44.0	0.0	10018	146
173	4	1	1	44.0	0.0	10019	498
174	4	1	1	44.0	0.0	10020	8
175	4	1	1	44.0	0.0	10021	90
176	4	1	1	44.0	0.0	10022	237
177	4	1	1	44.0	0.0	10023	71
178	4	1	1	44.0	0.0	10024	58
179	4	1	1	44.0	0.0	10025	94
180	4	1	1	44.0	0.0	10026	19
181	4	1	1	44.0	0.0	10027	51
182	4	1	1	44.0	0.0	10028	77
183	4	1	1	44.0	0.0	10029	51
184	4	1	1	44.0	0.0	10030	11
185	4	1	1	44.0	0.0	10031	23
186	4	1	1	44.0	0.0	10032	13
187	4	1	1	44.0	0.0	10033	11
188	4	1	1	44.0	0.0	10034	4
189	4	1	1	44.0	0.0	10035	79
190	4	1	1	44.0	0.0	10036	258
191	4	1	1	44.0	0.0	10037	77
192	4	1	1	44.0	0.0	10038	55
193	4	1	1	44.0	0.0	10039	5
194	4	1	1	44.0	0.0	10040	4
195	4	1	1	44.0	0.0	10048	3
196	4	1	1	44.0	0.0	10065	84
197	4	1	1	44.0	0.0	10069	1
198	4	1	1	44.0	0.0	10075	29
199	4	1	1	44.0	0.0	10107	1
200	4	1	1	44.0	0.0	10112	3
201	4	1	1	44.0	0.0	10128	40
202	4	1	1	44.0	0.0	10153	2
203	4	1	1	44.0	0.0	10154	3
204	4	1	1	44.0	0.0	10155	3
205	4	1	1	44.0	0.0	10168	2
206	4	1	1	44.0	0.0	10280	3
207	4	1	1	44.0	0.0	10281	5
208	4	1	1	44.0	0.0	10282	5
209	4	1	1	44.0	0.0	10451	8
210	4	1	1	44.0	0.0	10452	4
211	4	1	1	44.0	0.0	10453	1
212	4	1	1	44.0	0.0	10454	8
213	4	1	1	44.0	0.0	10455	4
214	4	1	1	44.0	0.0	10456	2
215	4	1	1	44.0	0.0	10457	6
216	4	1	1	44.0	0.0	10458	8
217	4	1	1	44.0	0.0	10459	3
218	4	1	1	44.0	0.0	10460	2
219	4	1	1	44.0	0.0	10461	1
220	4	1	1	44.0	0.0	10463	3
221	4	1	1	44.0	0.0	10467	3
222	4	1	1	44.0	0.0	10468	6
223	4	1	1	44.0	0.0	10469	1
224	4	1	1	44.0	0.0	10472	3
225	4	1	1	44.0	0.0	10473	1
229	4	1	1	44.0	0.0	11101	50
230	4	1	1	44.0	0.0	11102	12
231	4	1	1	44.0	0.0	11103	37
232	4	1	1	44.0	0.0	11104	15
233	4	1	1	44.0	0.0	11105	12
234	4	1	1	44.0	0.0	11106	35
236	4	1	1	44.0	0.0	11201	48
237	4	1	1	44.0	0.0	11203	1
238	4	1	1	44.0	0.0	11205	8
239	4	1	1	44.0	0.0	11206	57
240	4	1	1	44.0	0.0	11207	6
241	4	1	1	44.0	0.0	11208	1
242	4	1	1	44.0	0.0	11209	1
243	4	1	1	44.0	0.0	11211	177
244	4	1	1	44.0	0.0	11212	2
245	4	1	1	44.0	0.0	11213	4
246	4	1	1	44.0	0.0	11214	1
247	4	1	1	44.0	0.0	11215	33
248	4	1	1	44.0	0.0	11216	24
249	4	1	1	44.0	0.0	11217	77
250	4	1	1	44.0	0.0	11219	1
251	4	1	1	44.0	0.0	11221	10
252	4	1	1	44.0	0.0	11222	38
253	4	1	1	44.0	0.0	11223	1
254	4	1	1	44.0	0.0	11225	2
255	4	1	1	44.0	0.0	11226	4
256	4	1	1	44.0	0.0	11230	1
257	4	1	1	44.0	0.0	11231	9
258	4	1	1	44.0	0.0	11232	2
259	4	1	1	44.0	0.0	11233	5
260	4	1	1	44.0	0.0	11235	3
261	4	1	1	44.0	0.0	11237	11
262	4	1	1	44.0	0.0	11238	22
263	4	1	1	44.0	0.0	11249	54
264	4	1	1	44.0	0.0	11354	9
265	4	1	1	44.0	0.0	11368	7
266	4	1	1	44.0	0.0	11369	29
267	4	1	1	44.0	0.0	11370	1
268	4	1	1	44.0	0.0	11372	13
269	4	1	1	44.0	0.0	11373	74
270	4	1	1	44.0	0.0	11374	1
271	4	1	1	44.0	0.0	11375	26
272	4	1	1	44.0	0.0	11377	35
273	4	1	1	44.0	0.0	11378	3
274	4	1	1	44.0	0.0	11379	1
275	4	1	1	44.0	0.0	11385	4
276	4	1	1	44.0	0.0	11415	2
277	4	1	1	44.0	0.0	11416	1
278	4	1	1	44.0	0.0	11417	1
279	4	1	1	44.0	0.0	11419	1
280	4	1	1	44.0	0.0	11420	1
281	4	1	1	44.0	0.0	11427	1
282	4	1	1	44.0	0.0	11430	7
283	4	1	1	44.0	0.0	11432	4
284	4	1	1	44.0	0.0	11434	1
285	4	1	1	44.0	0.0	11435	2
291	4	1	2	41.0	0.0	10001	146
292	4	1	2	41.0	0.0	10002	157
293	4	1	2	41.0	0.0	10003	219
294	4	1	2	41.0	0.0	10004	10
295	4	1	2	41.0	0.0	10005	14
296	4	1	2	41.0	0.0	10006	5
297	4	1	2	41.0	0.0	10007	14
298	4	1	2	41.0	0.0	10009	126
299	4	1	2	41.0	0.0	10010	82
300	4	1	2	41.0	0.0	10011	277
301	4	1	2	41.0	0.0	10012	105
