"Zipcode","DayofWeek","Hour","Temp","Rain","RFR_pred","XGB_pred","Ensemble_pred","Neighborhood"
"10001",5,8,20,0,588,412,631,"Chelsea and Clinton"
"10001",1,18,25,0,1026,1125,1014,"Chelsea and Clinton"
"10001",6,10,22,0,689,708,691,"Chelsea and Clinton"
"10001",2,3,19,0,270,170,294,"Chelsea and Clinton"
"10001",6,19,26,0,1088,1306,1050,"Chelsea and Clinton"
"10001",1,0,21,0,543,517,554,"Chelsea and Clinton"
"10001",4,23,23,0,1067,1149,1059,"Chelsea and Clinton"
"10001",3,14,26,0,972,988,976,"Chelsea and Clinton"
"10001",0,20,21,0,1026,1136,1011,"Chelsea and Clinton"
"10001",6,23,23,0,956,990,957,"Chelsea and Clinton"
"10001",6,8,20,0,531,385,567,"Chelsea and Clinton"
"10001",6,22,24,0,1057,1235,1028,"Chelsea and Clinton"
"10001",4,17,27,0,919,910,929,"Chelsea and Clinton"
"10001",5,4,19,0,387,319,405,"Chelsea and Clinton"
"10001",1,1,21,0,381,319,397,"Chelsea and Clinton"
"10001",4,0,22,0,647,771,625,"Chelsea and Clinton"
"10001",3,12,23,0,987,1026,986,"Chelsea and Clinton"
"10001",3,3,18,0,314,237,332,"Chelsea and Clinton"
"10001",6,4,19,0,426,388,438,"Chelsea and Clinton"
"10001",5,9,22,0,683,639,699,"Chelsea and Clinton"
"10001",3,21,25,0,1117,1233,1101,"Chelsea and Clinton"
"10001",1,17,25,0,892,860,907,"Chelsea and Clinton"
"10001",6,21,25,0,1071,1268,1038,"Chelsea and Clinton"
"10001",1,16,25,0,872,746,907,"Chelsea and Clinton"
"10001",0,7,18,0,873,903,874,"Chelsea and Clinton"
"10001",6,14,26,0,919,984,913,"Chelsea and Clinton"
"10001",1,23,22,0,815,687,850,"Chelsea and Clinton"
"10001",5,19,28,0,1114,1308,1081,"Chelsea and Clinton"
"10001",5,0,23,0,787,968,756,"Chelsea and Clinton"
"10001",3,1,19,0,426,434,428,"Chelsea and Clinton"
"10001",1,22,23,0,913,907,922,"Chelsea and Clinton"
"10001",6,13,25,0,928,990,923,"Chelsea and Clinton"
